Sample Size,Type,Accuracy,Precision,Recall,F1 Score,Inference Time (s),CPU Usage (%),Memory Usage (MB),Model Size (MB)
20000,GRU,0.7042499999999999,0.8081193674414013,0.538,0.6452051353630044,0.000842,5.525,1736.75,0.4471700191497803
20000,LSTM,0.711,0.8695074455899198,0.49666666666666665,0.6321079890705925,0.0012566666666666666,21.933333333333334,1868.2366666666667,0.2853784561157226
20000,LSTM+GRU+ATT,0.718,0.8657718120805369,0.516,0.6466165413533834,0.00136,3.5,1615.06,0.5788230895996094
40000,GRU,0.70475,0.8515903393876212,0.50025,0.6287865816088876,0.0006915000000000001,10.85,1836.2175,0.4471755027770996
40000,LSTM,0.6976666666666667,0.8604264424178775,0.4723333333333333,0.6096473977382731,0.00034333333333333335,2.3333333333333335,1926.5199999999998,0.2853879928588867
40000,LSTM+GRU+ATT,0.704,0.8736263736263736,0.477,0.6170763260025873,0.000541,3.0,1638.7,0.5788764953613281
80000,GRU,0.714875,0.8707181159953804,0.505375,0.6392941971876253,0.00016975,2.75,1907.62,0.4471762180328369
80000,LSTM,0.7251666666666666,0.9122516091045788,0.49899999999999994,0.6448829325243348,0.000145,23.733333333333334,1939.2033333333331,0.2853879928588867
80000,LSTM+GRU+ATT,0.72925,0.9046778464254192,0.5125,0.6543249281838494,0.000245,4.5,1636.54,0.5788764953613281
120000,GRU,0.7219583333333334,0.8844490199025331,0.5129166666666667,0.6484884334127893,0.0002215,10.625,2020.2125,0.4471762180328369
120000,LSTM,0.7294166666666666,0.914233484098643,0.5063333333333333,0.6517213722749016,0.000184,3.5,2001.3449999999998,0.2853879928588867
120000,LSTM+GRU+ATT,0.7305,0.9292364990689012,0.499,0.649316851008458,0.000438,58.8,1724.9,0.5788822174072266
160000,GRU,0.72971875,0.9112299899807379,0.5101875,0.6536350252800041,0.0001405,2.75,2194.5525,0.4471762180328369
160000,LSTM,0.7345,0.9413823943567684,0.5001666666666668,0.6532328560103845,0.00013466666666666667,2.3333333333333335,1989.2866666666666,0.2853879928588867
160000,LSTM+GRU+ATT,0.737,0.9535885167464114,0.49825,0.6545155993431856,0.000246,56.3,1789.86,0.5788850784301758
200000,GRU,0.7322,0.9313980666566782,0.50145,0.6518410760954418,0.00016275,2.625,2337.005,0.4471766948699951
200000,LSTM,0.7346333333333334,0.9496728902939796,0.4956666666666667,0.651283600873562,0.0001766666666666667,20.766666666666666,2080.806666666667,0.2853899002075195
200000,LSTM+GRU+ATT,0.7351,0.9355316783994072,0.505,0.6559293414729186,0.000262,3.0,1836.74,0.5788850784301758
